"","UR","UF","UL","UB","DR","DF","DL","DB","FR","FL","BL","BR",
"UR","","R U R' F' R U R' U' R' F R2 U' R' U'","R U R' U' R' F R2 U' R' U' R U R' F'","M' R' F R F' R U2 r' U r U2 r'","S' R U R' U' R' F R2 U' R' U' R U R' F' S","r' F R F' R U2 r' U r U2 R' M'","R2 S R' U R' U' R' F R2 U' R' U' R U R' F' S","M' R' F R F' r U2 R' U R U2 R r2","R' U' R D' R' U D R2 D' R' D R'","F l' U' R' F R2 U' R' U' R U R' F' R","R' B R2 B' R2 U2 B' U2 F R2 F' R'","R U R' D R U' D' R2 D R D' R",
"UF","","","U' R' U2 R U2 R' F R U R' U' R' F' R2","R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R","R' U' R U' R2 D R' U R D' U' R2 U2 R","D R' U' R U' R2 D R' U R D' U' R2 U2 R D'","F2 R D R' f2 R D' R D R2 S2","D' R' U' R U' R2 D R' U R D' U' R2 U2 R D","R2 U' R U D' R U R' D R U2 R U","r U R' U' r' F R U2 R U' R' U' R U' R' F'","R' F R' U' R2 U D R U2 B U2 R' D' R F R2 F2 R","R' U2 R' F R2 U' R' U' R U R' F' R U R' U' R",
"UL","","","","R U R' F' R U2 R' U2 R' F R U R U2 R' U'","","","","","","","","",
"UB","","","","","","","","","","","","",
"DR","","","","","","","","","","","","",
"DF","","","","","","","","","","","","",
"DL","","","","","","","","","","","","",
"DB","","","","","","","","","","","","",
"FR","","","","","","","","","","","","",
"FL","","","","","","","","","","","","",
"BL","","","","","","","","","","","","",
"BR","","","","","","","","","","","","",
