"","UFr","UBl","URb","ULf","FUl","FLd","FDr","FRu","BUr","BRd","BLu","BDl","DFl","DBr","DRb","DLf","RUf","RDb","RFd","RBu","LUb","LDf","LFu","LBd",
"UFr","","3Rw' F2 3Rw l U2 M U2 l U2 l' U2 r U2 l'm' U2 3Rw' F2 3Rw","","","Rw U2 Rw F2 r F2 l' U2 l U2 r' U2 r U2 Rw' U2 Rw'","","","","l' U2 l' U2 M' U2 l' U2 lm U2 r' U2 l2","","","","","","","","","","","","","","","",
"UBl","","","","","","","","","","","","","","","","","","","","","","","","",
"URb","","","","","","","","","","","","","","","","","","","","","","","","",
"ULf","","","","","","","","","","","","","","","","","","","","","","","","",
"FUl","","","","","","","","","","","","","","","","","","","","","","","","",
"FLd","","","","","","","","","","","","","","","","","","","","","","","","",
"FDr","","","","","","","","","","","","","","","","","","","","","","","","",
"FRu","","","","","","","","","","","","","","","","","","","","","","","","",
"BUr","","","","","","","","","","","","","","","","","","","","","","","","",
"BRd","","","","","","","","","","","","","","","","","","","","","","","","",
"BLu","","","","","","","","","","","","","","","","","","","","","","","","",
"BDl","","","","","","","","","","","","","","","","","","","","","","","","",
"DFl","","","","","","","","","","","","","","","","","","","","","","","","",
"DBr","","","","","","","","","","","","","","","","","","","","","","","","",
"DRb","","","","","","","","","","","","","","","","","","","","","","","","",
"DLf","","","","","","","","","","","","","","","","","","","","","","","","",
"RUf","","","","","","","","","","","","","","","","","","","","","","","","",
"RDb","","","","","","","","","","","","","","","","","","","","","","","","",
"RFd","","","","","","","","","","","","","","","","","","","","","","","","",
"RBu","","","","","","","","","","","","","","","","","","","","","","","","",
"LUb","","","","","","","","","","","","","","","","","","","","","","","","",
"LDf","","","","","","","","","","","","","","","","","","","","","","","","",
"LFu","","","","","","","","","","","","","","","","","","","","","","","","",
"LBd","","","","","","","","","","","","","","","","","","","","","","","","",
